ORF,Name,Allele,Strain ID,Num_cells,Num_cells_outliers,Penetrance,normal,Cluster_normal-0,Cluster_normal-1,Cluster_normal-10,Cluster_normal-11,Cluster_normal-2,Cluster_normal-3,Cluster_normal-4,Cluster_normal-5,Cluster_normal-6,Cluster_normal-7,Cluster_normal-8,Cluster_normal-9
YCL063W,VAC17,,dma520,1461,200,0.136892539356605,1.0,0.325,0.02,0.0,0.205,0.0,0.0,0.2,0.0,0.115,0.07,0.015,0.05
YCR100C,,,dma605,893,168,0.1881298992161254,1.0,0.0059523809523809,0.0892857142857142,0.3095238095238095,0.0535714285714285,0.0,0.0,0.0059523809523809,0.0,0.244047619047619,0.0476190476190476,0.0,0.244047619047619
YCR099C,,,dma606,792,155,0.1957070707070707,1.0,0.0129032258064516,0.064516129032258,0.2709677419354839,0.0516129032258064,0.0,0.0,0.0,0.0,0.3290322580645161,0.0709677419354838,0.0,0.2
YCR098C,GIT1,,dma607,750,125,0.1666666666666666,1.0,0.008,0.12,0.36,0.04,0.0,0.0,0.008,0.0,0.232,0.056,0.0,0.176
YCR095C,OCA4,,dma608,687,224,0.3260553129548763,1.0,0.0,0.0401785714285714,0.3035714285714285,0.0535714285714285,0.0,0.0,0.0,0.0,0.3214285714285714,0.0089285714285714,0.0,0.2723214285714285
YCR092C,MSH3,,dma609,847,149,0.1759149940968122,1.0,0.0067114093959731,0.1208053691275167,0.3422818791946309,0.0604026845637583,0.0,0.0,0.0,0.0,0.2281879194630872,0.0671140939597315,0.0,0.174496644295302
YCR091W,KIN82,,dma610,879,199,0.2263936291240045,1.0,0.0,0.1155778894472361,0.2964824120603015,0.0552763819095477,0.0,0.0,0.0,0.0,0.321608040201005,0.0653266331658291,0.0,0.1457286432160804
YCR090C,,,dma611,949,154,0.1622760800842992,1.0,0.0064935064935064,0.0714285714285714,0.2532467532467532,0.0519480519480519,0.0,0.0,0.0,0.0,0.3961038961038961,0.0454545454545454,0.0064935064935064,0.1688311688311688
YCR086W,CSM1,,dma593,757,137,0.1809775429326288,1.0,0.0145985401459854,0.072992700729927,0.3284671532846715,0.0583941605839416,0.0,0.0,0.0145985401459854,0.0,0.2408759124087591,0.0875912408759124,0.0,0.1824817518248175
YCR085W,,,dma594,870,211,0.2425287356321839,1.0,0.0,0.0995260663507109,0.2985781990521327,0.0284360189573459,0.0,0.0,0.0,0.0,0.3838862559241706,0.0521327014218009,0.0,0.1374407582938388
YCR083W,TRX3,,dma595,564,150,0.2659574468085106,1.0,0.02,0.1,0.28,0.0266666666666666,0.0,0.0,0.0,0.0,0.3066666666666666,0.08,0.0,0.1866666666666666
YCR082W,AHC2,,dma596,382,95,0.2486910994764398,1.0,0.0,0.0421052631578947,0.2421052631578947,0.0105263157894736,0.0,0.0,0.0,0.0,0.3578947368421052,0.0947368421052631,0.0105263157894736,0.2421052631578947
YCR079W,PTC6,,dma598,1073,197,0.1835973904939422,1.0,0.0,0.1319796954314721,0.3096446700507614,0.0761421319796954,0.0,0.0,0.0,0.0,0.2588832487309644,0.0406091370558375,0.0101522842639593,0.1725888324873096
YCR077C,PAT1,,dma599,1159,178,0.1535806729939603,1.0,0.0,0.0505617977528089,0.3089887640449438,0.1741573033707865,0.0,0.0,0.0,0.0,0.2134831460674157,0.0168539325842696,0.0,0.2359550561797752
YDL051W,LHP1,,dma641,886,180,0.2031602708803611,1.0,0.0,0.0888888888888888,0.3222222222222222,0.0277777777777777,0.0,0.0,0.0,0.0,0.2777777777777778,0.0666666666666666,0.0055555555555555,0.2111111111111111
YDL048C,STP4,,dma642,992,178,0.1794354838709677,1.0,0.0056179775280898,0.1292134831460674,0.297752808988764,0.0617977528089887,0.0,0.0,0.0,0.0,0.3202247191011236,0.0730337078651685,0.0,0.1123595505617977
YDL050C,,,dma643,803,155,0.1930261519302615,1.0,0.0,0.0774193548387096,0.3354838709677419,0.032258064516129,0.0,0.0,0.0064516129032258,0.0,0.3096774193548387,0.0516129032258064,0.0,0.1870967741935484
YDL046W,NPC2,,dma644,626,95,0.1517571884984025,1.0,0.0105263157894736,0.0947368421052631,0.231578947368421,0.0736842105263157,0.0,0.0,0.0105263157894736,0.0,0.2631578947368421,0.1368421052631579,0.0,0.1789473684210526
YDL040C,NAT1,,dma646,850,202,0.2376470588235294,1.0,0.0,0.0643564356435643,0.3316831683168317,0.0495049504950495,0.0,0.0,0.0,0.0,0.3663366336633663,0.0346534653465346,0.0049504950495049,0.1485148514851485
YDL039C,PRM7,,dma647,1119,185,0.1653261840929401,1.0,0.0,0.1297297297297297,0.2108108108108108,0.0918918918918919,0.0,0.0,0.0,0.0,0.2324324324324324,0.0378378378378378,0.0054054054054054,0.2918918918918919
YCR044C,PER1,per1-supp1,dma575,1760,223,0.1267045454545454,1.0,0.0134529147982062,0.0941704035874439,0.0403587443946188,0.1390134529147982,0.0,0.0,0.0134529147982062,0.0,0.1883408071748878,0.1748878923766816,0.1524663677130044,0.1838565022421524
